ID,Nom,Domaine,"Prix TTC",UrlImage,URL
1592,"Coffret 6 Primeurs de Foillard","Jean Foillard","65.70 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/1592-coffret-6-foillard-primeur.png?v=1605272794,https://www.petitescaves.com/products/coffret-6-primeurs-de-foillard
2347,"Fanny Elisabeth Macération","Patrick Meyer","19.50 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/2347-alsace-domaine-julien-meyer-pinot-gris-fanny-elisabeth-maceration-lot19-r.png?v=1605214845,https://www.petitescaves.com/products/fanny-elisabeth-maceration
2328,"La Pie Colette (blanc)","Cath. et Jean-Mary Le Bihan","11.10 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-pie-colette-blanc-868959.jpg?v=1605019311,https://www.petitescaves.com/products/la-pie-colette-blanc
2326,"La Fage","C. Maisonneuve et M. Cosse","17.50 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-fage-861678.jpg?v=1605005470,https://www.petitescaves.com/products/la-fage
2325,L'Aligator,"Isabelle et J-Yves Vantey","17.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/laligator-567579.jpg?v=1605012096,https://www.petitescaves.com/products/laligator
2314,"Loire Gold","Liv Vincendeau","15.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/loire-gold-105536.jpg?v=1605010045,https://www.petitescaves.com/products/loire-gold
2313,"Coucou blanc","Elian Da Ros","23.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/coucou-blanc-545569.jpg?v=1605007780,https://www.petitescaves.com/products/coucou-blanc
2312,"Nouveau Nez","Damien Delecheneau","19.80 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/nouveau-nez-107690.jpg?v=1605017720,https://www.petitescaves.com/products/nouveau-nez-1
2311,"Les Grenouillères","Damien Delecheneau","23.20 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/les-grenouilleres-685823.jpg?v=1605018635,https://www.petitescaves.com/products/grenouilleres
2309,"Grande Sendrée","Michel Drappier","67.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/grande-sendree-498916.jpg?v=1605003450,https://www.petitescaves.com/products/grande-sendree
2304,"La Fleur Cailleau","Paul Barre","49.00 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-fleur-cailleau-358541.jpg?v=1605017923,https://www.petitescaves.com/products/la-fleur-cailleau-2005
2303,"Mus K Dé","Michel Bedouet","9.00 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/mus-k-de-104728.jpg?v=1605023509,https://www.petitescaves.com/products/mus-k-de-2020-bedouet
2300,Trinch,"Catherine et Pierre Breton","13.80 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/trinch-901567.jpg?v=1605021443,https://www.petitescaves.com/products/trinch-2019-bourgueil-breton
2302,"Matin fou (sylvaner)","Christophe Lindenlaub","12.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/matin-fou-sylvaner-312121.jpg?v=1605023520,https://www.petitescaves.com/products/matin-fou-sylvaner-2019
2307,"LBL sauvignon","Noëlla Morantin","26.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/lbl-sauvignon-869182.jpg?v=1605014214,https://www.petitescaves.com/products/lbl18-sauvignon
2308,"La Sagesse","Michèle Aubéry","22.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-sagesse-205690.jpg?v=1605008669,https://www.petitescaves.com/products/la-sagesse-2019
2297,"La Rubiconde","Maxime Laurent","19.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-rubiconde-641746.jpg?v=1605013277,https://www.petitescaves.com/products/la-rubiconde
270,"Mâcon Villages","Philippe Valette","21.50 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/macon-villages-163334.jpg?v=1605017448,https://www.petitescaves.com/products/villages-2017
2088,"Clos des Renardes","Fanny Sabre","36.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/clos-des-renardes-326074.jpg?v=1605015777,https://www.petitescaves.com/products/clos-des-renardes-2020
2159,"Crozes-Hermitage rouge","Natacha Chave","20.50 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/crozes-hermitage-rouge-110204.jpg?v=1605019957,https://www.petitescaves.com/products/crozes-hermitage-rouge-2019-aleofane
2296,"L'accroche Coeur","Jérôme Jouret","11.50 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/laccroche-coeur-362467.jpg?v=1605020977,https://www.petitescaves.com/products/laccroche-coeur-2019
2295,"La Coulée Douce","Jérôme Jouret","13.60 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/la-coulee-douce-408562.jpg?v=1605009066,https://www.petitescaves.com/products/la-coulee-douce-2019
2281,"Les enfants qui s'aiment s'embrassent debout","Camille et Mathias Marquet","17.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/les-enfants-qui-saiment-sembrassent-debout-835702.jpg?v=1605012042,https://www.petitescaves.com/products/les-enfants-qui-saiment-sembrassent-debout
2280,"Côtes du Rhône Nouveau","Marcel, Claire et Thomas Richaud","11.20 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/cotes-du-rhone-nouveau-315494.jpg?v=1605019206,https://www.petitescaves.com/products/cotes-du-rhone-nouveau
2279,"Jolie Surprise","Didier Chaffardon","21.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/jolie-surprise-311619.jpg?v=1605014324,https://www.petitescaves.com/products/jolie-surprise
2278,Roulpapille,"Didier Chaffardon","18.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/roulpapille-521334.jpg?v=1605019837,https://www.petitescaves.com/products/roulpapille
2277,Rosé,"Pierre Cotton","12.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/rose-633006.jpg?v=1605009215,https://www.petitescaves.com/products/rose
2275,"Orange Carbonique","Pierre Cotton","16.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/orange-carbonique-251650.jpg?v=1605003401,https://www.petitescaves.com/products/blanc-maceration
2274,"Miss Terre","Christophe Comte","11.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/2274-rhone-les-vigneaux-rouge-miss-terre-2017-r.png?v=1605184895,https://www.petitescaves.com/products/miss-terre-2017
2271,"Beaujolais Villages Nouveau RD","Rémi Dufaitre","10.20 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/beaujolais-villages-nouveau-900637.jpg?v=1605006175,https://www.petitescaves.com/products/primeur-1
2270,Poncié,"Pierre Cotton","25.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/poncie-989615.jpg?v=1605009401,https://www.petitescaves.com/products/poncie
2269,"Magnum Côte de Brouilly - La Chapelle","Pierre Cotton","63.00 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/magnum-cote-de-brouilly-la-chapelle-319184.jpg?v=1605003997,https://www.petitescaves.com/products/cote-de-brouilly-la-chapelle-1
2268,"Côte de Brouilly - La Chapelle","Pierre Cotton","30.00 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/cote-de-brouilly-la-chapelle-689783.jpg?v=1605018439,https://www.petitescaves.com/products/cote-de-brouilly-la-chapelle
2267,"Magnum Les Grillés","Pierre Cotton","64.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/magnum-les-grilles-231389.jpg?v=1605017056,https://www.petitescaves.com/products/cote-de-brouilly-les-grilles-1
2266,"Côte de Brouilly - Les Grillés","Pierre Cotton","30.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/cote-de-brouilly-les-grilles-776294.jpg?v=1605011128,https://www.petitescaves.com/products/cote-de-brouilly-les-grilles
2265,"Côte de Brouilly 100%","Pierre Cotton","27.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/cote-de-brouilly-100-164638.jpg?v=1605020854,https://www.petitescaves.com/products/cote-de-brouilly-100
2264,"100% ""Les Mines""","Pierre Cotton","24.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/100-les-mines-598782.jpg?v=1605023176,https://www.petitescaves.com/products/100-cotton-les-mines
2263,"Régnié 100%","Pierre Cotton","25.90 €",https://cdn.shopify.com/s/files/1/0459/2871/0305/products/regnie-100-312924.jpg?v=1605019608,https://www.petitescaves.com/products/regnie
